#all units are SI,,,,,,,,,
number,name,lat,lon,height,min_pressure,max_pressure,min_injection,max_injection,type
1,ARS,31.850518,34.664132,1,3000000,100000000,0,1000,1
2,SRK,31.807118,34.824611,65,3000000,100000000,-1000,1000,0
3,KIR,31.591095,34.750985,140,3000000,100000000,-1000,1000,0
4,ASR,31.64142,34.527968,0,3000000,100000000,-1000,1000,0
5,RHO,31.135307,34.793188,361,3000000,100000000,-1000,1000,0
6,SDO,31.043186,35.366209,-371,3000000,100000000,-1000,1000,0
7,HAO,32.455932,34.827789,-55,3000000,100000000,-1000,1000,0
8,DLS,32.593838,34.920104,0,3000000,100000000,-1000,1000,0
9,HAG,32.621916,35.050104,130,3000000,100000000,-1000,1000,0
10,HAI,32.81464,35.024023,0,3000000,100000000,-1000,1000,0
11,DOV,32.648552,35.356444,175,3000000,100000000,-1000,1000,0
12,MIS,31.8183,34.7541,1,3000000,100000000,-1000,1000,0
13,BTU,31.7341,34.723,65,3000000,100000000,-1000,1000,0
