#all units are SI,,,,,,,,
number,name,lat,lon,height,min_pressure,max_pressure,default_nodal_flow,default_nodal_pressure
1,ARS,31.850518,34.664132,1,3000000,100000000,135.337,7158000
2,SRK,31.807118,34.824611,65,3000000,100000000,-60.553,7016600
3,KIR,31.591095,34.750985,140,3000000,100000000,-49.126,6846500
4,ASR,31.64142,34.527968,0,3000000,100000000,-99.318,6269100
5,RHO,31.135307,34.793188,361,3000000,100000000,-32.842,6381200
6,SDO,31.043186,35.366209,-371,3000000,100000000,-26.621,5651000
7,HAO,32.470964,34.899507,-55,3000000,100000000,-21.318,7399100
8,DLS,32.605447,34.944823,0,3000000,100000000,284.68,7500000
9,HAG,32.621916,35.050104,130,3000000,100000000,-41.639,7131800
10,HAI,32.81464,35.024023,0,3000000,100000000,-26.834,7116000
11,DOV,32.648552,35.356444,175,3000000,100000000,-61.766,7099500
